job_title,job_date,job_desc,job_tasks,comp_name,comp_no,comp_type,comp_size,eco_activity,qualif,region,city,benefits,contract,positions,job_post_id,exper,gender
أخصائي ذكاء أعمال,26/05/1444,['تحديد مصادر المعلومات والبيانات اللازمة لإعداد التحليلات والاختبارات العلمية واختيار أفضل الطرق والأدوات والأساليب لجمعها وتنظيمها وتحليلها بالشكل الأفضل وإعداد الوثائق والتقارير المتخصصة والمتعلقة في مجال ذكاء الأعمال وعرضها وحفظها'],"['   دراسة وتحليل الخطط المعدة وتفصيلها إلى عمليات منظمة، وتنظيم الأنشطة ومسار سير المعلومات وتوكيد استهدافها للخدمة أو المنتج المرغوب به', '  دراسة وتحليل النظريات والمنهجيات والتقنيات المعلوماتية والتجارب والممارسات التي تقوم على تحويل البيانات الأولية إلى معلومات مفيدة ذات معنى لأغراض الأعمال، وإعداد ورفع التوصيات والمقترحات بتبني أفضل الأساليب والممارسات الحديثة المناسبة', '  جمع المعلومات والبيانات المتعلقة بالجهة المعنية بشكل مستمر وتسجيلها وتحليلها وفقا لأهداف محددة، وإعداد التوصيات وتدارسها مع إدارات تقنية المعلومات بهدف استخدامها في عملية اتخاذ القرار لتحسين الأداء العام', '  تحليل الأعمال المعدة بهدف تحديد أفضل استراتيجيات العمل المناسبة في المجال المحدد ووضع الحلول المناسبة للمشاكل التخطيطية التي قد تواجه أثناء أداء الأعمال، مع ضمان توافر كافة التحليلات والمبررات المنطقية المؤيدة للنتائج', '  إعداد الوثائق والتقارير المتخصصة والمتعلقة بذكاء الأعمال وتقديم التوصيات المناسبة والحلول الملائمة وعرضها وتوضيحها وحفظها في قاعدة البيانات الخاصة بها وفقاً للسياسات والإجراءات المعتمدة.', '  ']",شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,9-2027654,خاص,صغيرة فئة أ,إعادة تأهيل وهيكلة العمليات الإدارية والمالية والتشغيلية للمنشآت,"['Language data', 'لغة انجليزية', 'متوسط']",الرياض,AR RIYADH...,"['Salary', '7200.0', 'Benefits', 'بدل نقل 800 ريال']",دوام كامل,0 / 4,20202026349578,0 Years,both
بائع,26/05/1444,['بيع مجموعة من السلع والخدمات للعملاء، وتوفير المعلومات المتعلقة بالمنتجات واستخداماتها وأسعارها، وتولي أمور الدفع وتلقي المدفوعات من العملاء.'],"['   بيع مجموعة من السلع والخدمات للعملاء.', '  توفير المعلومات المتعلقة بالمنتجات، والاستخدامات، والأسعار.', '  مراقبة مستويات المخزون والحفاظ على ترتيب المتجر، وإصدار طلبات لشراء المنتجات، والتعامل مع المنتجات الواردة.', '  تولي أمور الدفع وتلقي المدفوعات من العملاء، ومعالجة طلبات استبدال المنتجات، والمرتجعات وفقاً للسياسة المتبعة.', '  ', '  ']",شركة بيت قطن للتجارة شركة شخص واحد,1-2397423,خاص,متوسطة فئة أ,البيع بالجملة للملابس الرياضية,"['Skill data', 'تسويق', 'مبتدئ']",المنطقة الشرقية,AL BATALI...,"['Salary', '4000.0']",دوام كامل,0 / 5,20202026349573,0 Years,both
محلل بيانات,26/05/1444,['جمع  البيانات ومعالجتها وتقديمها في مجموعة متنوعة من الصيغ والتنسيقات، وتطوير عمليات جديدة لتحليل البيانات، وتقديم المشورة بخصوص عمليات معالجة البيانات'],"['   جمع قواعد البيانات ومراجعتها وتنظيفها وإدارتها، والتعاون مع مهندسي المنتجات والباحثين والأخصائيين لتحديد المشكلات ذات الصلة', '  تطوير الخوارزميات والنماذج الإحصائية، وإجراء التحليل الإحصائي المناسب، وتفسير النتائج', '  إعداد التقارير والمخططات والرسوم البيانية لمشاركة النتائج والتحليلات، وتوظيفها في صنع القرار', '  تحليل عمليات معالجة البيانات وجمعها في المنشأة، وتحديد فرص التحسين وتقديم المشورة حول مسار عمل موظفي الأبحاث', '  الحفاظ على الخبرة الفنية وتحديث المعارف بشكل مستمر، ودراسة المنشورات المتخصصة', '  ']",شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,9-2027654,خاص,صغيرة فئة أ,إعادة تأهيل وهيكلة العمليات الإدارية والمالية والتشغيلية للمنشآت,"['Language data', 'انجليزية', 'متوسط']",الرياض,AR RIYADH...,"['Salary', '7200.0', 'Benefits', 'بدل نقل 800 ريال']",دوام كامل,0 / 4,20202026349572,0 Years,both
مدير حساب عميل,26/05/1444,['إدارة محفظة من حسابات العملاء المهمين، والحفاظ على العلاقات مع كبار العملاء وتكوين علاقات جديدة، والإشراف على تقديم الحلول للعملاء.'],"['   بناء علاقات مع كبار العملاء والمحافظة عليها، وتحديد احتياجاتهم وشواغلهم وتقديم الاستجابة الملائمة.', '  تحديد العملاء المحتملين الجدد، والعمل على فرص النمو، وبدء قنوات تواصل مع العملاء الجدد المستهدفين، أو متابعة هذه القنوات.', '  توجيه الفرق بهدف تقديم الحلول للعملاء، والإشراف على مجموعة من تفضيلات ومتطلبات العملاء، واتصالاتهم بالمنشأة.', '  العمل كنقطة اتصال مع العملاء الرئيسيين، وحل أي مشكلات قد تنشأ.', '  متابعة الشكاوى أو الاستفسارات الخاصة بالعملاء المهمين.', '  ']",مؤسسة عبر السوق لتقنية المعلومات,9-2046127,خاص,صغيرة فئة أ,تقديم خدمات تسويقية نيابةً عن الغير,"['Skill data', 'التسويق', 'مبتدئ', 'كتابة المحتوى', 'مبتدئ', 'مهارات التفاوض', 'مبتدئ', 'Language data', 'العربية', 'محترف', 'الانجليزية', 'متوسط']",مكة المكرمة,JEDDAH...,"['Salary', '6000.0']",دوام كامل,0 / 3,20202026349523,2 Years,F
مصمم جرافيك,26/05/1444,"['لديه الخبرة   في اخراج العروض التقديمية الرسمية وتصميم الشعارات ', 'لديه الخبرة في تصميم الانفواجرافيك وتصميم اللوحات الدعائية', 'لديه معرفه جيدة بالبرامج (فوتوشوب، واليستلاتور، إن ديزاين،  ثري دي ماكس , ادوب اكروبات بروفيشنال) .']","['لديه الخبرة   في اخراج العروض التقديمية الرسمية وتصميم الشعارات ', 'لديه الخبرة في تصميم الانفواجرافيك وتصميم اللوحات الدعائية', 'لديه معرفه جيدة بالبرامج (فوتوشوب، واليستلاتور، إن ديزاين،  ثري دي ماكس , ادوب اكروبات بروفيشنال) .']",مكتب مدارات للاستشارات الهندسية,3-1971776,خاص,متوسطة فئة ب,إدارة المشاريع الانشائية,nan,حائل,HAIL...,"['Salary', '7000.0']",دوام كامل,0 / 1,20202026349504,4 Years,M
مدخل بيانات,26/05/1444,['التمكن من استخدام برامج مايكروسفت أوفيس'],['التمكن من استخدام برامج مايكروسفت أوفيس'],مكتب مدارات للاستشارات الهندسية,3-1971776,خاص,متوسطة فئة ب,إدارة المشاريع الانشائية,nan,حائل,HAIL...,"['Salary', '3000.0']",دوام كامل,0 / 2,20202026349475,2 Years,M
مطور برامج,26/05/1444,[' تحليل  وادارة تطبيقات باستخدام الأدوات البرمجية  وقواعد البيانات'],['   تحليل  وادارة تطبيقات باستخدام الأدوات البرمجية  وقواعد البيانات'],مكتب مدارات للاستشارات الهندسية,3-1971776,خاص,متوسطة فئة ب,إدارة المشاريع الانشائية,nan,حائل,HAIL...,"['Salary', '9000.0']",دوام كامل,0 / 1,20202026349439,4 Years,M
أخصائي إدارة اداء,26/05/1444,[' فهم مبادئ الإدارة الإستراتيجية وقياس الأداء ، القدرة على التنسيق والإدارة لعدة أعمال متزامنة ، مهارات تحليله والقدرة على صنع واتخاذ القرار ، مهارات تحضير التقارير والتوصيات والملخصات التنفيذية الداعمة للقرار ، التمكن من استخدام برامج مايكروسفت أوفيس'],"[' فهم مبادئ الإدارة الإستراتيجية وقياس الأداء ، القدرة على التنسيق والإدارة لعدة أعمال متزامنة ، مهارات تحليله والقدرة على صنع واتخاذ القرار ، مهارات تحضير التقارير والتوصيات والملخصات التنفيذية الداعمة للقرار ، التمكن من استخدام برامج مايكروسفت أوفيس', '  ']",مكتب مدارات للاستشارات الهندسية,3-1971776,خاص,متوسطة فئة ب,إدارة المشاريع الانشائية,nan,حائل,HAIL...,"['Salary', '12000.0']",دوام كامل,0 / 1,20202026349417,10 Years,M
مدخل بيانات,26/05/1444,['مراجعة استمارات البيانات وتدقيقها، وإدخال وتخزين البيانات والمعلومات بجهاز الحاسب الالي'],"['   مراجعة الاستمارات المتعلقة بالبيانات وترميزها والتأكد من اكتمالها', '  إدخال البيانات والمعلومات في الحاسب الالي بحسب البرامج والنظم الاحصائية، ومراجعة رموز التصنيف للبيانات والمعلومات المدخلة، وتصويب الاخطاء فيها', '  تخزين المعلومات المدخلة', '  عمل النسخ الاحتياطية اللازمة للبيانات والمعلومات المخزنة', '  التقيد بالتعليمات المتعلقة بسرية البيانات والمعلومات', '  ']",شركة إرتقاء المتحدة لاجهزة السلامة,9-2117904,خاص,صغيرة فئة أ,تركيب وصيانة أجهزة ومعدات الإنذار من الحريق,nan,مكة المكرمة,JEDDAH...,"['Salary', '4000.0']",دوام كامل,0 / 1,20202026349390,2 Years,F
كيميائي,26/05/1444,['إجراء الأبحاث والتحاليل الكيميائية للعناصر والمركبات لأغراض تطوير المنتجات والعمليات والتطبيقات، وإجراء التحاليل الكمية والنوعية وتحسين الطرق التحليلية، وإجراء التجارب المخبرية لعينات من العناصر والمركبات، وإعداد الوثائق والتقارير المتخصصة بنتائج الأعمال والاختبارات.'],"['   إجراء الأبحاث والتجارب والتحاليل الكمية والنوعية للعناصر والمركبات العضوية واللاعضوية لتحديد خواصها الكيميائية وبنيتها وتفاعلاتها ودراسة وتحليل النتائج.', '  تصميم وسائل وأساليب وتجهيزات وتطوير المعادلات والعمليات والطرق لحل المشكلات الفنية العملية.', '  إجراء الأبحاث على المنتجات الكيميائية المصنعة لتطوير وتحسين الإجراءات والعمليات وجودة المنتجات.', '  تطوير أساليب وإجراءات العمل ومواكبة التطورات التقنية.', '  إعداد الوثائق والتقارير المتخصصة المتعلقة بنتائج الدراسات الفيزيائية وسبل تطويرها، وعرضها وتوضيحها وحفظها في قاعدة البيانات الخاصة بها وفقاً للسياسات والإجراءات المعتمدة.', '  ']",شركة الغدير الدوليه للتسويق,13-1946886,خاص,صغيرة فئة أ,البيع بالجملة للمواد الكيميائية,"['Language data', 'الانجليزي ', 'متوسط', 'Professional certificate \\ License data', 'شهادة الهيئة الصحية للتخصصات الصحية ', 'ضروري']",مكة المكرمة,MAKKAH AL...,"['Salary', '5500.0']",دوام كامل,0 / 1,20202026349224,0 Years,F
محاسب,26/05/1444,['إعداد وتنظيم مستندات الصرف ومتابعة تحصيل الإيرادات وتوثيقها وتحليلها، وإعداد القيود المحاسبية وتسجيل العمليات المالية بالسجلات وتدقيق حسابات البنوك وإعداد التسويات اللازمة وإعداد التقارير والوثائق المتعلقة بالنفقات والإيرادات وحفظها.'],"['   تدقيق المطالبات المالية والتأكد من اكتمال شروطها القانونية والمالية، وإعداد وتنظيم وتوثيق مستندات الصرف ومتابعة تدقيقها وإجازتها للصرف من الجهات الرقابية المعتمدة.', '  مراقبة النفقات الجارية والرأسمالية بحسب الموقف المالي الشهري لبنود الموازنة، وإعداد الموقف المالي والخلاصات الشهرية وإعداد وتنظيم الحسابات الختامية السنوية.', '  إعداد القيود المحاسبية وتسجيل العمليات المالية بالسجلات وتدقيق حسابات البنوك وإعداد التسويات اللازمة مع كشوف المطابقة الشهرية.', '  تطوير أساليب وإجراءات المحاسبة ومواكبة التطور العلمي والتقني في مجال المحاسبة.', '  إعداد الوثائق والتقارير المتخصصة في مجال محاسبة النفقات والإيرادات وحفظها في قاعدة البيانات الخاصة بذلك.', '  ']",شركة الصخرة المشرفة والسارية الخضراء للاستشارات الهندسية,1-321449,خاص,متوسطة فئة ب,أنشطة الاستشارات الهندسية والمعمارية,"['Language data', 'الانجليزية', 'متوسط']",الرياض,AR RIYADH...,"['Salary', '5000.0']",دوام كامل,0 / 1,20202026349216,0 Years,F
مهندس زراعي,26/05/1444,['دراسة خصائص ومكونات الأراضي والتربة الزراعية، وإعداد تصاميم ومخططات شبكات الري والصرف الزراعي ومتابعة تركيبها، وتحديد الآلاتالزراعية المناسبة لأداء الأعمال الزراعية وتطوير استخداماتها. وإعداد الوثائق والتقارير المتخصصة بنتائج الأعمال'],"['   دراسة خصائص التربة الزراعية الفيزيائية والكيميائية ومكوناتها، ومتابعة فحص عينات النبات والتربة ومياه الري وتحليل نتائجها، ودراسة واختبار أنواع الأسمدة المناسبة وتقييم مدى استجابة المزروعات لها.', '  دراسة أنظمة الري واختيار الأنسب منها كالري السطحي أو بالرشاشات أو المحوري أو الموضعي وتصميم مخططات وشبكات الري والصرف الزراعي ومتابعة إجراءات التركيب، وتقييم كفاءة أنظمة الري وتطويرها.', '  تحديد الآلاتالزراعية المناسبة كآلات الحراثة والزراعة والرش والحصاد وآلات جرش وخلط الحبوب وإعداد برامج تشغيلها وصيانتها والتأكد من جاهزيتها.', '  تطوير أساليب وإجراءات العمل ومواكبة التطورات التقنية.', '  إعداد الوثائق والتقارير المتخصصة وعرضها وتوضيحها وحفظها في قاعدة البيانات الخاصة بها وفقاً للسياسات والإجراءات المعتمدة.', '  ']",شركة الحبيب للتجارة والتعهدات التجارية المحدودة,9-170461,خاص,عملاقة,خدمات جمع النفايات البلدية,"['Professional certificate \\ License data', 'الهيئة العامة للمهندسين ', 'ضروري']",مكة المكرمة,MAKKAH AL...,"['Salary', '8400.0']",دوام كامل,0 / 1,20202026348990,2 Years,M
